M1,M2,G1,G2
12.5,60.0,15.421,-4.136
12.5,62.5,15.157,-4.545
12.5,65.0,14.881,-4.974
12.5,67.5,14.592,-5.423
12.5,70.0,14.292,-5.893
12.5,72.5,13.979,-6.383
12.5,75.0,13.655,-6.891
12.5,77.5,13.320,-7.419
12.5,80.0,12.975,-7.964
12.5,82.5,12.619,-8.525
12.5,85.0,12.255,-9.103
12.5,87.5,11.882,-9.696
12.5,90.0,11.500,-10.303
12.5,92.5,11.112,-10.923
12.5,95.0,10.717,-11.553
12.5,97.5,10.316,-12.195
12.5,100.0,9.909,-12.845
12.5,102.5,9.499,-13.502
12.5,105.0,9.084,-14.166
12.5,107.5,8.667,-14.835
12.5,110.0,8.247,-15.507
12.5,112.5,7.826,-16.181
12.5,115.0,7.404,-16.855
12.5,117.5,6.982,-17.529
12.5,120.0,6.561,-18.200
12.5,122.5,6.141,-18.867
12.5,125.0,5.723,-19.529
12.5,127.5,5.309,-20.185
12.5,130.0,4.898,-20.832
12.5,132.5,4.492,-21.469
12.5,135.0,4.092,-22.094
12.5,137.5,3.699,-22.707
12.5,140.0,3.313,-23.305
12.5,142.5,2.936,-23.888
12.5,145.0,2.568,-24.452
12.5,147.5,2.212,-24.997
12.5,150.0,1.867,-25.521
12.5,152.5,1.536,-26.023
12.5,155.0,1.219,-26.500
12.5,157.5,0.918,-26.951
12.5,160.0,0.634,-27.374
15.0,0.0,18.189,0.220
15.0,2.5,18.186,0.216
15.0,5.0,18.174,0.199
15.0,7.5,18.155,0.169
15.0,10.0,18.126,0.126
15.0,12.5,18.089,0.070
15.0,15.0,18.043,0.000
15.0,17.5,17.987,-0.084
15.0,20.0,17.923,-0.182
15.0,22.5,17.848,-0.295
15.0,25.0,17.764,-0.423
15.0,27.5,17.669,-0.566
15.0,30.0,17.564,-0.726
15.0,32.5,17.448,-0.903
15.0,35.0,17.320,-1.096
15.0,37.5,17.182,-1.308
15.0,40.0,17.032,-1.537
15.0,42.5,16.870,-1.786
15.0,45.0,16.695,-2.053
15.0,47.5,16.509,-2.340
15.0,50.0,16.310,-2.647
15.0,52.5,16.098,-2.974
15.0,55.0,15.873,-3.322
15.0,57.5,15.636,-3.690
15.0,60.0,15.386,-4.080
15.0,62.5,15.123,-4.490
15.0,65.0,14.848,-4.921
15.0,67.5,14.560,-5.372
15.0,70.0,14.260,-5.844
15.0,72.5,13.949,-6.335
15.0,75.0,13.626,-6.846
15.0,77.5,13.292,-7.376
15.0,80.0,12.948,-7.923
15.0,82.5,12.594,-8.487
15.0,85.0,12.231,-9.067
15.0,87.5,11.859,-9.663
15.0,90.0,11.479,-10.272
15.0,92.5,11.092,-10.894
15.0,95.0,10.699,-11.527
15.0,97.5,10.299,-12.171
15.0,100.0,9.895,-12.823
15.0,102.5,9.486,-13.483
15.0,105.0,9.073,-14.150
15.0,107.5,8.657,-14.821
15.0,110.0,8.239,-15.496
15.0,112.5,7.820,-16.172
15.0,115.0,7.400,-16.849
15.0,117.5,6.979,-17.525
15.0,120.0,6.560,-18.199
15.0,122.5,6.142,-18.869
15.0,125.0,5.726,-19.533
15.0,127.5,5.313,-20.191
15.0,130.0,4.905,-20.840
15.0,132.5,4.501,-21.480
15.0,135.0,4.102,-22.108
15.0,137.5,3.711,-22.723
15.0,140.0,3.326,-23.323
15.0,142.5,2.951,-23.907
15.0,145.0,2.585,-24.474
15.0,147.5,2.230,-25.021
15.0,150.0,1.887,-25.547
15.0,152.5,1.557,-26.051
15.0,155.0,1.241,-26.530
15.0,157.5,0.941,-26.982
15.0,160.0,0.659,-27.407
17.5,0.0,18.132,0.303
17.5,2.5,18.129,0.299
17.5,5.0,18.118,0.282
17.5,7.5,18.098,0.252
17.5,10.0,18.070,0.209
17.5,12.5,18.033,0.153
17.5,15.0,17.987,0.084
17.5,17.5,17.932,0.000
17.5,20.0,17.868,-0.098
17.5,22.5,17.794,-0.211
17.5,25.0,17.710,-0.339
17.5,27.5,17.616,-0.483
17.5,30.0,17.511,-0.644
17.5,32.5,17.396,-0.820
17.5,35.0,17.269,-1.015
17.5,37.5,17.131,-1.227
17.5,40.0,16.981,-1.457
17.5,42.5,16.820,-1.706
17.5,45.0,16.646,-1.974
17.5,47.5,16.461,-2.262
17.5,50.0,16.262,-2.570
17.5,52.5,16.051,-2.899
17.5,55.0,15.827,-3.248
17.5,57.5,15.591,-3.618
